,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Diputados,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia,Presidencia
,NOMBRE_ESTADO,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,TOTAL_VOTOS,NOMBRE_ESTADO,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,TOTAL_VOTOS
CLAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010001,OAXACA,ABEJONES,17.0,17.0,14.0,11.0,59.0,12.0,8.0,260.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,5.0,0.0,0.0,449.0,OAXACA,ABEJONES,16.0,15.0,13.0,6.0,54.0,12.0,6.0,264.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,4.0,0.0,1.0,449
200020002,OAXACA,ACATLAN DE PEREZ FIGUEROA,150.0,140.0,7.0,18.0,13.0,10.0,3.0,150.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,521.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,124.0,89.0,2.0,13.0,18.0,2.0,5.0,224.0,6.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,521
200020003,OAXACA,ACATLAN DE PEREZ FIGUEROA,442.0,232.0,14.0,66.0,20.0,16.0,7.0,399.0,6.0,8.0,2.0,0.0,0.0,7.0,12.0,1.0,0.0,2.0,2.0,0.0,1.0,1268.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,294.0,170.0,14.0,48.0,45.0,7.0,3.0,579.0,14.0,6.0,1.0,1.0,0.0,1.0,12.0,0.0,0.0,12.0,2.0,2.0,0.0,1255
200020004,OAXACA,ACATLAN DE PEREZ FIGUEROA,484.0,226.0,15.0,42.0,16.0,10.0,3.0,310.0,5.0,8.0,3.0,2.0,1.0,13.0,10.0,0.0,0.0,7.0,0.0,1.0,1.0,1222.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,390.0,170.0,8.0,35.0,38.0,7.0,1.0,430.0,13.0,5.0,11.0,5.0,0.0,5.0,15.0,0.0,1.0,11.0,3.0,0.0,4.0,1226
200020005,OAXACA,ACATLAN DE PEREZ FIGUEROA,239.0,186.0,10.0,15.0,18.0,8.0,6.0,350.0,6.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,1.0,1.0,0.0,879.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,260.0,134.0,4.0,8.0,42.0,1.0,5.0,187.0,12.0,2.0,2.0,1.0,0.0,1.0,8.0,0.0,0.0,28.0,7.0,0.0,2.0,748
200020006,OAXACA,ACATLAN DE PEREZ FIGUEROA,414.0,167.0,28.0,8.0,36.0,17.0,9.0,538.0,10.0,1.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,0.0,3.0,1306.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,293.0,105.0,15.0,6.0,59.0,13.0,6.0,676.0,18.0,1.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,6.0,10.0,1.0,5.0,1303
200020007,OAXACA,ACATLAN DE PEREZ FIGUEROA,264.0,112.0,12.0,7.0,11.0,19.0,2.0,187.0,6.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,675.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,207.0,62.0,7.0,3.0,27.0,8.0,2.0,289.0,4.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,1.0,1.0,674
200020008,OAXACA,ACATLAN DE PEREZ FIGUEROA,201.0,133.0,6.0,5.0,20.0,3.0,0.0,132.0,4.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,541.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,159.0,87.0,4.0,0.0,36.0,2.0,0.0,195.0,7.0,4.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,2.0,0.0,3.0,541
200020009,OAXACA,ACATLAN DE PEREZ FIGUEROA,207.0,105.0,12.0,5.0,9.0,5.0,3.0,152.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,513.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,116.0,56.0,9.0,3.0,32.0,2.0,3.0,272.0,7.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,523
200020010,OAXACA,ACATLAN DE PEREZ FIGUEROA,466.0,146.0,5.0,20.0,18.0,4.0,2.0,232.0,6.0,14.0,5.0,1.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,959.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,381.0,88.0,5.0,13.0,41.0,6.0,1.0,324.0,16.0,10.0,6.0,1.0,0.0,4.0,8.0,0.0,0.0,16.0,3.0,0.0,0.0,960
200020011,OAXACA,ACATLAN DE PEREZ FIGUEROA,502.0,194.0,11.0,21.0,22.0,20.0,5.0,284.0,7.0,4.0,8.0,1.0,1.0,2.0,5.0,1.0,0.0,8.0,7.0,0.0,0.0,1140.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,389.0,115.0,9.0,8.0,46.0,3.0,5.0,454.0,11.0,7.0,9.0,1.0,0.0,2.0,4.0,0.0,0.0,16.0,7.0,4.0,3.0,1138
200020012,OAXACA,ACATLAN DE PEREZ FIGUEROA,488.0,228.0,12.0,20.0,14.0,11.0,7.0,332.0,6.0,9.0,9.0,2.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1197.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,399.0,146.0,10.0,9.0,57.0,4.0,3.0,435.0,11.0,12.0,9.0,3.0,0.0,1.0,6.0,0.0,0.0,7.0,9.0,1.0,3.0,1193
200020013,OAXACA,ACATLAN DE PEREZ FIGUEROA,179.0,192.0,9.0,7.0,8.0,5.0,2.0,65.0,3.0,4.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,510.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,164.0,111.0,6.0,6.0,20.0,2.0,0.0,142.0,7.0,2.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,8.0,1.0,0.0,1.0,509
200020014,OAXACA,ACATLAN DE PEREZ FIGUEROA,203.0,294.0,12.0,13.0,3.0,4.0,9.0,35.0,44.0,1.0,3.0,1.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,660.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,199.0,226.0,8.0,4.0,20.0,5.0,1.0,129.0,4.0,5.0,5.0,0.0,0.0,4.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,660
200020015,OAXACA,ACATLAN DE PEREZ FIGUEROA,297.0,99.0,10.0,8.0,18.0,11.0,5.0,166.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,648.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,239.0,58.0,7.0,0.0,51.0,7.0,3.0,236.0,10.0,1.0,3.0,2.0,0.0,0.0,4.0,2.0,0.0,8.0,2.0,0.0,0.0,649
200020016,OAXACA,ACATLAN DE PEREZ FIGUEROA,85.0,76.0,1.0,1.0,4.0,4.0,1.0,70.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,254.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,76.0,48.0,1.0,0.0,11.0,0.0,2.0,101.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,254
200020017,OAXACA,ACATLAN DE PEREZ FIGUEROA,365.0,265.0,6.0,4.0,13.0,9.0,5.0,221.0,5.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,944.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,257.0,263.0,6.0,4.0,44.0,6.0,5.0,340.0,17.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,2.0,983
200020018,OAXACA,ACATLAN DE PEREZ FIGUEROA,180.0,62.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,140.0,42.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351
200020019,OAXACA,ACATLAN DE PEREZ FIGUEROA,178.0,127.0,5.0,5.0,8.0,1.0,0.0,104.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,443.0,OAXACA,ACATLAN DE PEREZ FIGUEROA,145.0,90.0,2.0,2.0,17.0,0.0,1.0,154.0,8.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,3.0,443
