Banco de México,Unnamed: 1
,
,
,
,
Fecha de consulta: 19/02/2025 02:15:48,
,
,
,
Título,Financiamiento bancario y principales fuentes altern endeud sec privado del país Crédito al consumo
Periodo disponible,Ene-Mar 1994 - Jul-Sep 2024
Periodicidad,Trimestral
Cifra,Saldos
Unidad,Millones de Pesos
Base,
Aviso,
Tipo de información,
Fecha,SF17926
1994-10-01 00:00:00,51133
1995-01-01 00:00:00,0
1995-04-01 00:00:00,0
1995-07-01 00:00:00,0
1995-10-01 00:00:00,46988.6
1996-01-01 00:00:00,0
1996-04-01 00:00:00,0
1996-07-01 00:00:00,0
1996-10-01 00:00:00,41828
1997-01-01 00:00:00,41515.9
1997-04-01 00:00:00,41405
1997-07-01 00:00:00,43660.9
1997-10-01 00:00:00,46330.2
1998-01-01 00:00:00,46952.2
1998-04-01 00:00:00,50546
1998-07-01 00:00:00,51129
1998-10-01 00:00:00,52012.4
1999-01-01 00:00:00,52039.1
1999-04-01 00:00:00,57117.4
1999-07-01 00:00:00,57775.4
1999-10-01 00:00:00,62348.7
2000-01-01 00:00:00,59529.1
2000-04-01 00:00:00,64353.9
2000-07-01 00:00:00,69630.9
2000-10-01 00:00:00,78646.6
2001-01-01 00:00:00,86596.3
2001-04-01 00:00:00,90979.6
2001-07-01 00:00:00,96626.5
2001-10-01 00:00:00,103583.6
2002-01-01 00:00:00,109561.8
2002-04-01 00:00:00,125589.7
2002-07-01 00:00:00,132323.5
2002-10-01 00:00:00,145783.2
2003-01-01 00:00:00,146123.1
2003-04-01 00:00:00,153035
2003-07-01 00:00:00,168512.5
2003-10-01 00:00:00,178721.7
2004-01-01 00:00:00,187395.1
2004-04-01 00:00:00,207952.6
2004-07-01 00:00:00,228665.4
2004-10-01 00:00:00,257959.5
2005-01-01 00:00:00,273789.9
2005-04-01 00:00:00,294236.1
2005-07-01 00:00:00,324730.3
2005-10-01 00:00:00,369711.2
2006-01-01 00:00:00,390383.6
2006-04-01 00:00:00,426226.3
2006-07-01 00:00:00,462407.5
2006-10-01 00:00:00,487068.7
2007-01-01 00:00:00,502684.6
2007-04-01 00:00:00,535947.3
2007-07-01 00:00:00,557230.4
2007-10-01 00:00:00,575719.1
2008-01-01 00:00:00,576755.8
2008-04-01 00:00:00,589185.8
2008-07-01 00:00:00,586403.7
2008-10-01 00:00:00,568507.6
2009-01-01 00:00:00,540113.3
2009-04-01 00:00:00,520759.3
2009-07-01 00:00:00,521504.1
2009-10-01 00:00:00,519770.6
2010-01-01 00:00:00,509420.1
2010-04-01 00:00:00,518119.8
2010-07-01 00:00:00,526550.8
2010-10-01 00:00:00,545875.2
2011-01-01 00:00:00,555011.5
2011-04-01 00:00:00,581935.8
2011-07-01 00:00:00,613552.3
2011-10-01 00:00:00,645379.1
2012-01-01 00:00:00,655509.3
2012-04-01 00:00:00,682504.1
2012-07-01 00:00:00,719716.1
2012-10-01 00:00:00,757192
2013-01-01 00:00:00,768713.2
2013-04-01 00:00:00,794494.9
2013-07-01 00:00:00,823403.7
2013-10-01 00:00:00,849370.1
2014-01-01 00:00:00,849596.6
2014-04-01 00:00:00,869800.9
2014-07-01 00:00:00,892548
2014-10-01 00:00:00,909242.9
2015-01-01 00:00:00,908640
2015-04-01 00:00:00,930893.1
2015-07-01 00:00:00,951038.8
2015-10-01 00:00:00,985986.9
2016-01-01 00:00:00,1058841.2
2016-04-01 00:00:00,1102680
2016-07-01 00:00:00,1150892.1
2016-10-01 00:00:00,1195094.5
2017-01-01 00:00:00,1211583
2017-04-01 00:00:00,1250437.3
2017-07-01 00:00:00,1286294.7
2017-10-01 00:00:00,1328323.5
2018-01-01 00:00:00,1337281.3
2018-04-01 00:00:00,1361597.1
2018-07-01 00:00:00,1383411
2018-10-01 00:00:00,1410083.5
2019-01-01 00:00:00,1399374.3
2019-04-01 00:00:00,1422091.6
2019-07-01 00:00:00,1438446.6
2019-10-01 00:00:00,1394771
2020-01-01 00:00:00,1372919.2
2020-04-01 00:00:00,1316403.1
2020-07-01 00:00:00,1282298.2
2020-10-01 00:00:00,1295572.9
2021-01-01 00:00:00,1264844.4
2021-04-01 00:00:00,1280551.5
2021-07-01 00:00:00,1298026.5
2021-10-01 00:00:00,1335126
2022-01-01 00:00:00,1362818.1
2022-04-01 00:00:00,1419127.2
2022-07-01 00:00:00,1470419.1
2022-10-01 00:00:00,1556923.5
2023-01-01 00:00:00,1596453
2023-04-01 00:00:00,1672641.2
2023-07-01 00:00:00,1739700
2023-10-01 00:00:00,1820174.5
2024-01-01 00:00:00,1850807.5
2024-04-01 00:00:00,1924944
2024-07-01 00:00:00,1999893
