Banco de México,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Tasas y precios de referencia,,,
Tasa efectiva promedio ponderado por saldo de tarjetas de crédito (CR),,,
,,,
Fecha de consulta: 22/02/2025 04:51:52,,,
,,,
,,,
,,,
Título,"Tasa de efectiva promedio ponderada por saldo de todos los clientes con y sin promociones, Tarjetas de crédito","Tasa de efectiva promedio ponderada por saldo de clientes no totaleros con y sin promociones, Tarjetas de crédito","Tasa de efectiva promedio ponderada por saldo de clientes no totaleros sin promociones, Tarjetas de crédito"
Periodo disponible,Mar-Abr 2011 - May-Jun 2024,Mar-Abr 2011 - May-Jun 2024,Mar-Abr 2011 - May-Jun 2024
Periodicidad,Bimestral,Bimestral,Bimestral
Cifra,Porcentajes,Porcentajes,Porcentajes
Unidad,Sin Unidad,Sin Unidad,Sin Unidad
Base,,,
Aviso,,,
Tipo de información,Niveles,Niveles,Niveles
Fecha,SF320890,SF320891,SF320892
2011-03-01 00:00:00,25.0942,30.3445,37.6358
2011-05-01 00:00:00,24.9821,30.3204,37.7136
2011-07-01 00:00:00,24.8008,30.2965,37.7225
2011-09-01 00:00:00,25.2722,30.5503,37.8129
2011-11-01 00:00:00,24.522,30.3803,37.8729
2012-01-01 00:00:00,23.9794,29.7944,37.7981
2012-03-01 00:00:00,24.0976,29.7847,37.6423
2012-05-01 00:00:00,24.4985,30.1578,37.8178
2012-07-01 00:00:00,24.2998,30.1469,37.7502
2012-09-01 00:00:00,24.6903,30.4556,37.8736
2012-11-01 00:00:00,24.1363,30.4089,37.8406
2013-01-01 00:00:00,23.748,30.0108,37.792
2013-03-01 00:00:00,23.8098,29.8849,37.4725
2013-05-01 00:00:00,24.0341,30.1095,37.9096
2013-07-01 00:00:00,24.1081,30.1958,38.1921
2013-09-01 00:00:00,24.1424,30.3514,38.1475
2013-11-01 00:00:00,24.4512,30.8546,38.6664
2014-01-01 00:00:00,24.1248,30.2853,38.2276
2014-03-01 00:00:00,24.6198,30.663,38.4904
2014-05-01 00:00:00,25.0285,31.1556,38.9282
2014-07-01 00:00:00,24.1963,30.3457,37.7017
2014-09-01 00:00:00,24.1701,30.5643,37.8532
2014-11-01 00:00:00,23.8579,30.6214,37.9019
2015-01-01 00:00:00,23.4086,30.1858,37.6495
2015-03-01 00:00:00,23.3213,30.0998,37.4406
2015-05-01 00:00:00,23.4083,30.1727,37.3907
2015-07-01 00:00:00,23.6833,30.6163,38.2054
2015-09-01 00:00:00,23.7952,30.8316,38.336
2015-11-01 00:00:00,23.0117,30.4958,38.2077
2016-01-01 00:00:00,24.3172,31.9898,40.5971
2016-03-01 00:00:00,23.1001,30.4652,38.9728
2016-05-01 00:00:00,24.5335,31.9676,40.6408
2016-07-01 00:00:00,24.5931,32.1174,41.2394
2016-09-01 00:00:00,25.2709,32.728,42.0429
2016-11-01 00:00:00,24.8609,32.9529,42.5564
2017-01-01 00:00:00,24.411,32.4401,42.5444
2017-03-01 00:00:00,25.0931,32.9948,43.2585
2017-05-01 00:00:00,25.3768,33.2781,43.4374
2017-07-01 00:00:00,25.1297,33.0162,43.1611
2017-09-01 00:00:00,26.066,33.9482,44.2537
2017-11-01 00:00:00,25.1046,33.6126,43.8779
2018-01-01 00:00:00,24.6194,33.086,44.1059
2018-03-01 00:00:00,25.4793,33.9501,45.3682
2018-05-01 00:00:00,25.2958,34.0472,45.4464
2018-07-01 00:00:00,25.0988,33.9791,45.4079
2018-09-01 00:00:00,25.7404,34.6311,45.9173
2018-11-01 00:00:00,25.0686,34.9136,46.4088
2019-01-01 00:00:00,24.8204,34.4833,46.2827
2019-03-01 00:00:00,25.623,35.2997,47.0882
2019-05-01 00:00:00,25.8467,35.8515,47.9175
2019-07-01 00:00:00,25.748,35.4935,47.4085
2019-09-01 00:00:00,25.9635,35.5789,47.009
2019-11-01 00:00:00,25.2313,35.5522,47.1371
2020-01-01 00:00:00,24.79,35.0358,46.9258
2020-03-01 00:00:00,25.4295,35.3527,48.1305
2020-05-01 00:00:00,24.302,34.4926,47.8442
2020-07-01 00:00:00,25.0277,35.5227,47.9828
2020-09-01 00:00:00,23.8708,34.8457,46.7882
2020-11-01 00:00:00,22.0352,33.9048,45.9185
2021-01-01 00:00:00,21.3077,33.1292,45.5556
2021-03-01 00:00:00,21.3011,33.4554,47.0696
2021-05-01 00:00:00,20.463,32.9377,46.7969
2021-07-01 00:00:00,20.405,32.9482,47.4106
2021-09-01 00:00:00,20.9324,33.1943,48.1482
2021-11-01 00:00:00,19.9935,32.8793,48.1628
2022-01-01 00:00:00,19.83,32.7877,48.8748
2022-03-01 00:00:00,20.5364,33.4995,49.8606
2022-05-01 00:00:00,20.4744,33.3874,49.4118
2022-07-01 00:00:00,21.0732,34.1681,50.6555
2022-09-01 00:00:00,22.3846,35.6496,52.299
2022-11-01 00:00:00,21.945,36.069,52.7173
2023-01-01 00:00:00,21.7454,35.9147,52.9301
2023-03-01 00:00:00,22.6789,36.7658,54.0893
2023-05-01 00:00:00,22.779,36.861,53.9281
2023-07-01 00:00:00,22.9365,37.0009,53.9291
2023-09-01 00:00:00,23.7261,37.8042,54.4025
2023-11-01 00:00:00,22.9465,37.869,54.2363
2024-01-01 00:00:00,22.6429,37.3928,53.7889
2024-03-01 00:00:00,24.427,37.7292,53.6985
2024-05-01 00:00:00,24.5545,38.0778,54.0141
