Banco de México,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Tasas y precios de referencia,,,,,,,
Costos de Captación,,,,,,,
,,,,,,,
Fecha de consulta: 22/02/2025 05:01:42,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Título,"Costo de captación a plazo de pasivos en moneda nacional (CCP), Tasa en por ciento anual","Costo de captación a plazo de pasivos en moneda nacional observado (CCPO), Tasa en por ciento anual","Costo de captación a plazo de pasivos en Udis (CCP-Udis), Tasa en por ciento anual","Costo de captación a plazo de pasivos en dólares (CCP-Dólares), Tasa en por ciento anual","Costo porcentual promedio (CPP), Tasa en por ciento anual","Costo de captaciÃ³n a plazo de pasivos estables (CPPE), Tasa en por ciento anual","Tasa de interés de los pasivos a plazo, Moneda nacional, Banca de Desarrollo"
Periodo disponible,Ene 1996 - Ene 2025,Oct 2010 - Ene 2025,Ene 1995 - Ene 2025,Ene 1996 - Ene 2025,Ago 1975 - Ene 2025,Ene 2021 - Ene 2025,Ene 2000 - Ene 2025
Periodicidad,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual
Cifra,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Unidad,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Base,,,,,,,
Aviso,,,,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,SF286,SF330232,SF3368,SF3366,SF285,SF339723,SF31980
1975-08-01 00:00:00,N/E,N/E,N/E,N/E,11.91,N/E,N/E
1975-09-01 00:00:00,N/E,N/E,N/E,N/E,11.91,N/E,N/E
1975-10-01 00:00:00,N/E,N/E,N/E,N/E,11.91,N/E,N/E
1975-11-01 00:00:00,N/E,N/E,N/E,N/E,11.92,N/E,N/E
1975-12-01 00:00:00,N/E,N/E,N/E,N/E,11.97,N/E,N/E
1976-01-01 00:00:00,N/E,N/E,N/E,N/E,11.86,N/E,N/E
1976-02-01 00:00:00,N/E,N/E,N/E,N/E,11.83,N/E,N/E
1976-03-01 00:00:00,N/E,N/E,N/E,N/E,11.78,N/E,N/E
1976-04-01 00:00:00,N/E,N/E,N/E,N/E,11.79,N/E,N/E
1976-05-01 00:00:00,N/E,N/E,N/E,N/E,11.78,N/E,N/E
1976-06-01 00:00:00,N/E,N/E,N/E,N/E,11.76,N/E,N/E
1976-07-01 00:00:00,N/E,N/E,N/E,N/E,11.74,N/E,N/E
1976-08-01 00:00:00,N/E,N/E,N/E,N/E,11.74,N/E,N/E
1976-09-01 00:00:00,N/E,N/E,N/E,N/E,11.74,N/E,N/E
1976-10-01 00:00:00,N/E,N/E,N/E,N/E,11.96,N/E,N/E
1976-11-01 00:00:00,N/E,N/E,N/E,N/E,12.03,N/E,N/E
1976-12-01 00:00:00,N/E,N/E,N/E,N/E,12.12,N/E,N/E
1977-01-01 00:00:00,N/E,N/E,N/E,N/E,12.05,N/E,N/E
1977-02-01 00:00:00,N/E,N/E,N/E,N/E,12,N/E,N/E
1977-03-01 00:00:00,N/E,N/E,N/E,N/E,11.99,N/E,N/E
1977-04-01 00:00:00,N/E,N/E,N/E,N/E,12.03,N/E,N/E
1977-05-01 00:00:00,N/E,N/E,N/E,N/E,11.93,N/E,N/E
1977-06-01 00:00:00,N/E,N/E,N/E,N/E,12.59,N/E,N/E
1977-07-01 00:00:00,N/E,N/E,N/E,N/E,13.25,N/E,N/E
1977-08-01 00:00:00,N/E,N/E,N/E,N/E,13.52,N/E,N/E
1977-09-01 00:00:00,N/E,N/E,N/E,N/E,13.57,N/E,N/E
1977-10-01 00:00:00,N/E,N/E,N/E,N/E,13.64,N/E,N/E
1977-11-01 00:00:00,N/E,N/E,N/E,N/E,13.93,N/E,N/E
1977-12-01 00:00:00,N/E,N/E,N/E,N/E,14.04,N/E,N/E
1978-01-01 00:00:00,N/E,N/E,N/E,N/E,14.33,N/E,N/E
1978-02-01 00:00:00,N/E,N/E,N/E,N/E,14.47,N/E,N/E
1978-03-01 00:00:00,N/E,N/E,N/E,N/E,14.62,N/E,N/E
1978-04-01 00:00:00,N/E,N/E,N/E,N/E,14.87,N/E,N/E
1978-05-01 00:00:00,N/E,N/E,N/E,N/E,15.02,N/E,N/E
1978-06-01 00:00:00,N/E,N/E,N/E,N/E,15.16,N/E,N/E
1978-07-01 00:00:00,N/E,N/E,N/E,N/E,15.26,N/E,N/E
1978-08-01 00:00:00,N/E,N/E,N/E,N/E,15.29,N/E,N/E
1978-09-01 00:00:00,N/E,N/E,N/E,N/E,15.38,N/E,N/E
1978-10-01 00:00:00,N/E,N/E,N/E,N/E,15.49,N/E,N/E
1978-11-01 00:00:00,N/E,N/E,N/E,N/E,15.81,N/E,N/E
1978-12-01 00:00:00,N/E,N/E,N/E,N/E,15.88,N/E,N/E
1979-01-01 00:00:00,N/E,N/E,N/E,N/E,15.98,N/E,N/E
