Banco de México,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Tasas y precios de referencia,,,,,,,
Tasas de interés representativas,,,,,,,
,,,,,,,
Fecha de consulta: 22/02/2025 04:55:38,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Título,TIIE a 182 días,"TIIE de Fondeo a Un Día Hábil Bancario, Mediana ponderada por volumen","Tasa de fondeo bancario, Mediana ponderada por volumen, Tasa de interés en por ciento anual","Tasa de fondeo gubernamental, Mediana ponderada por volumen, Tasa de interés en por ciento anual","TIIE a 28 días, Tasa de interés en por ciento anual","Tasas de interés interbancarias Por ciento anual, TIIE a 91 días",Tasa objetivo
Periodo disponible,06/04/2011 - 24/02/2025,02/01/2006 - 21/02/2025,03/11/1998 - 21/02/2025,03/11/1998 - 21/02/2025,23/03/1995 - 24/02/2025,23/01/1997 - 24/02/2025,21/01/2008 - 23/02/2025
Periodicidad,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria
Cifra,Porcentajes,Tasas Promedio,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Unidad,Porcentajes,Porcentajes,Sin Unidad,Sin Unidad,Sin Unidad,Porcentajes,Sin Unidad
Base,,,,,,,
Aviso,,,,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,SF111916,SF331451,SF43773,SF43774,SF43783,SF43878,SF61745
2008-01-02 00:00:00,N/E,7.53,7.51,7.46,7.93,N/E,N/E
2008-01-03 00:00:00,N/E,7.53,7.51,7.45,7.9362,8.01,N/E
2008-01-04 00:00:00,N/E,7.53,7.51,7.43,7.9312,N/E,N/E
2008-01-07 00:00:00,N/E,7.52,7.51,7.43,7.9275,N/E,N/E
2008-01-08 00:00:00,N/E,7.51,7.5,7.41,7.9262,N/E,N/E
2008-01-09 00:00:00,N/E,7.51,7.5,7.42,7.9262,N/E,N/E
2008-01-10 00:00:00,N/E,7.51,7.5,7.42,7.9262,8.01,N/E
2008-01-11 00:00:00,N/E,7.51,7.5,7.43,7.9362,N/E,N/E
2008-01-14 00:00:00,N/E,7.51,7.51,7.43,7.9112,N/E,N/E
2008-01-15 00:00:00,N/E,7.51,7.51,7.43,7.9312,N/E,N/E
2008-01-16 00:00:00,N/E,7.52,7.51,7.43,7.9262,N/E,N/E
2008-01-17 00:00:00,N/E,7.52,7.51,7.43,7.9237,7.9975,N/E
2008-01-18 00:00:00,N/E,7.52,7.51,7.42,7.916,N/E,N/E
2008-01-21 00:00:00,N/E,7.51,7.51,7.43,7.9287,N/E,7.5
2008-01-22 00:00:00,N/E,7.51,7.51,7.43,7.9262,N/E,7.5
2008-01-23 00:00:00,N/E,7.5,7.5,7.42,7.9163,N/E,7.5
2008-01-24 00:00:00,N/E,7.5,7.51,7.42,7.93,7.97,7.5
2008-01-25 00:00:00,N/E,7.51,7.51,7.42,7.935,N/E,7.5
2008-01-28 00:00:00,N/E,7.51,7.5,7.43,7.935,N/E,7.5
2008-01-29 00:00:00,N/E,7.52,7.51,7.44,7.925,N/E,7.5
2008-01-30 00:00:00,N/E,7.52,7.51,7.44,7.915,N/E,7.5
2008-01-31 00:00:00,N/E,7.55,7.52,7.45,7.9125,7.97,7.5
2008-02-01 00:00:00,N/E,7.52,7.51,7.43,7.9163,N/E,7.5
2008-02-05 00:00:00,N/E,7.51,7.51,7.44,7.9295,N/E,7.5
2008-02-06 00:00:00,N/E,7.5,7.51,7.43,7.915,N/E,7.5
2008-02-07 00:00:00,N/E,7.5,7.5,7.43,7.9245,7.9475,7.5
2008-02-08 00:00:00,N/E,7.5,7.5,7.42,7.93,N/E,7.5
2008-02-11 00:00:00,N/E,7.5,7.5,7.42,7.925,N/E,7.5
2008-02-12 00:00:00,N/E,7.5,7.5,7.4,7.93,N/E,7.5
2008-02-13 00:00:00,N/E,7.49,7.5,7.39,7.9118,N/E,7.5
2008-02-14 00:00:00,N/E,7.49,7.5,7.4,7.9275,7.93,7.5
2008-02-15 00:00:00,N/E,7.49,7.5,7.42,7.9275,N/E,7.5
2008-02-18 00:00:00,N/E,7.49,7.5,7.4,7.9375,N/E,7.5
2008-02-19 00:00:00,N/E,7.5,7.5,7.4,7.94,N/E,7.5
2008-02-20 00:00:00,N/E,7.5,7.5,7.4,7.9275,N/E,7.5
2008-02-21 00:00:00,N/E,7.5,7.5,7.41,7.94,7.92,7.5
2008-02-22 00:00:00,N/E,7.5,7.5,7.4,7.935,N/E,7.5
2008-02-25 00:00:00,N/E,7.5,7.5,7.4,7.9325,N/E,7.5
2008-02-26 00:00:00,N/E,7.49,7.5,7.41,7.935,N/E,7.5
2008-02-27 00:00:00,N/E,7.49,7.5,7.41,7.935,N/E,7.5
2008-02-28 00:00:00,N/E,7.49,7.5,7.42,7.9118,7.94,7.5
2008-02-29 00:00:00,N/E,7.53,7.51,7.44,7.935,N/E,7.5
