Banco de México,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Índices de Precios al Consumidor y UDIS,,,,,,,,,
Inflación,,,,,,,,,
,,,,,,,,,
Fecha de consulta: 22/02/2025 06:36:40,,,,,,,,,
,,,,,,,,,
"Aviso importante: Algunas de las series que está consultando registra un cambio, por favor consulte los metadatos de las mismas.",,,,,,,,,
,,,,,,,,,
Título,"Índice Nacional de Precios al consumidor, Variación mensual","Índice Nacional de Precios al consumidor, Variación acumulada","Índice Nacional de Precios al consumidor, variación anual","Inflación, Subyacente (nueva definición), Mensual","Inflación, Subyacente (nueva definición), Acumulada en el año","Inflación, Subyacente (nueva definición), Anual","Inflación, No subyacente (nueva definición), Mensual","Inflación, No subyacente (nueva definición), Acumulada en el año","Inflación, No subyacente (nueva definición), Anual"
Periodo disponible,Ene 1969 - Ene 2025,Ene 1970 - Ene 2025,Ene 1970 - Ene 2025,Feb 1982 - Ene 2025,Ene 1983 - Ene 2025,Ene 1983 - Ene 2025,Feb 1982 - Ene 2025,Ene 1983 - Ene 2025,Ene 1983 - Ene 2025
Periodicidad,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual
Cifra,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad
Base,,,,,,,,,
