Banco de México,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Tasas y precios de referencia,,,,,
Tasas de Interés Interbancarias,,,,,
,,,,,
Fecha de consulta: 22/02/2025 04:42:21,,,,,
,,,,,
,,,,,
,,,,,
Título,"TIIE de Fondeo a Un Día Hábil Bancario, Mediana ponderada por volumen","TIIE a 28 días, Tasa de interés en por ciento anual","Tasas de interés interbancarias Por ciento anual, TIIE a 91 días",TIIE a 182 días,"Tasas de interés interbancarias Por ciento anual, TIIP a 28 días"
Periodo disponible,02/01/2006 - 21/02/2025,23/03/1995 - 24/02/2025,23/01/1997 - 24/02/2025,06/04/2011 - 24/02/2025,21/01/1993 - 31/01/2002
Periodicidad,Diaria,Diaria,Diaria,Diaria,Diaria
Cifra,Tasas Promedio,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Unidad,Porcentajes,Sin Unidad,Porcentajes,Porcentajes,Porcentajes
Base,,,,,
Aviso,,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,SF331451,SF43783,SF43878,SF111916,SF43947
2006-01-02 00:00:00,8.27,8.57,N/E,N/E,N/E
2006-01-03 00:00:00,8.28,8.565,N/E,N/E,N/E
2006-01-04 00:00:00,8.28,8.55,N/E,N/E,N/E
2006-01-05 00:00:00,8.28,8.565,8.28,N/E,N/E
2006-01-06 00:00:00,8.28,8.575,N/E,N/E,N/E
2006-01-09 00:00:00,8.28,8.585,N/E,N/E,N/E
2006-01-10 00:00:00,8.28,8.5,N/E,N/E,N/E
2006-01-11 00:00:00,8.28,8.49,N/E,N/E,N/E
2006-01-12 00:00:00,8.28,8.48,8.225,N/E,N/E
2006-01-13 00:00:00,8.28,8.475,N/E,N/E,N/E
2006-01-16 00:00:00,8.28,8.455,N/E,N/E,N/E
2006-01-17 00:00:00,8.27,8.435,N/E,N/E,N/E
2006-01-18 00:00:00,8.27,8.41,N/E,N/E,N/E
2006-01-19 00:00:00,8.27,8.38,8.12,N/E,N/E
2006-01-20 00:00:00,8.27,8.355,N/E,N/E,N/E
2006-01-23 00:00:00,8.27,8.33,N/E,N/E,N/E
2006-01-24 00:00:00,8.27,8.32,N/E,N/E,N/E
2006-01-25 00:00:00,8.28,8.31,N/E,N/E,N/E
2006-01-26 00:00:00,8.28,8.27,8.025,N/E,N/E
2006-01-27 00:00:00,7.78,8.24,N/E,N/E,N/E
2006-01-30 00:00:00,7.78,8.11,N/E,N/E,N/E
2006-01-31 00:00:00,7.8,8.095,N/E,N/E,N/E
2006-02-01 00:00:00,7.78,8.11,N/E,N/E,N/E
2006-02-02 00:00:00,7.78,8.11,7.975,N/E,N/E
2006-02-03 00:00:00,7.78,8.09,N/E,N/E,N/E
2006-02-07 00:00:00,7.78,8.065,N/E,N/E,N/E
2006-02-08 00:00:00,7.77,8.075,N/E,N/E,N/E
2006-02-09 00:00:00,7.77,8.075,7.975,N/E,N/E
2006-02-10 00:00:00,7.77,8.065,N/E,N/E,N/E
2006-02-13 00:00:00,7.77,8.025,N/E,N/E,N/E
2006-02-14 00:00:00,7.78,8.015,N/E,N/E,N/E
2006-02-15 00:00:00,7.78,7.98,N/E,N/E,N/E
2006-02-16 00:00:00,7.78,7.965,7.9,N/E,N/E
2006-02-17 00:00:00,7.78,7.925,N/E,N/E,N/E
2006-02-20 00:00:00,7.78,7.885,N/E,N/E,N/E
2006-02-21 00:00:00,7.78,7.86,N/E,N/E,N/E
2006-02-22 00:00:00,7.79,7.8425,N/E,N/E,N/E
2006-02-23 00:00:00,7.82,7.85,7.85,N/E,N/E
2006-02-24 00:00:00,7.55,7.85,N/E,N/E,N/E
2006-02-27 00:00:00,7.53,7.805,N/E,N/E,N/E
2006-02-28 00:00:00,7.56,7.805,N/E,N/E,N/E
2006-03-01 00:00:00,7.54,7.78,N/E,N/E,N/E
2006-03-02 00:00:00,7.54,7.765,7.755,N/E,N/E
2006-03-03 00:00:00,7.54,7.76,N/E,N/E,N/E
2006-03-06 00:00:00,7.52,7.7525,N/E,N/E,N/E
2006-03-07 00:00:00,7.52,7.7425,N/E,N/E,N/E
2006-03-08 00:00:00,7.54,7.74,N/E,N/E,N/E
2006-03-09 00:00:00,7.54,7.7475,7.85,N/E,N/E
2006-03-10 00:00:00,7.53,7.76,N/E,N/E,N/E
2006-03-13 00:00:00,7.53,7.735,N/E,N/E,N/E
2006-03-14 00:00:00,7.52,7.725,N/E,N/E,N/E
2006-03-15 00:00:00,7.52,7.695,N/E,N/E,N/E
2006-03-16 00:00:00,7.52,7.67,7.805,N/E,N/E
2006-03-17 00:00:00,7.52,7.65,N/E,N/E,N/E
2006-03-20 00:00:00,7.52,7.635,N/E,N/E,N/E
2006-03-22 00:00:00,7.52,7.635,N/E,N/E,N/E
2006-03-23 00:00:00,7.53,7.625,7.75,N/E,N/E
2006-03-24 00:00:00,7.27,7.615,N/E,N/E,N/E
2006-03-27 00:00:00,7.26,7.57,N/E,N/E,N/E
