Banco de México,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Tasas y precios de referencia,,,
Tasas de Interés Semanales de Valores Privados de Corto Plazo,,,
,,,
Fecha de consulta: 22/02/2025 05:07:17,,,
,,,
,,,
,,,
Título,"Valores privados de corto plazo semanal, Total corto plazo, tasa promedio ponderada, Porcentajes","Valores privados de corto plazo semanal, Papel comercial, tasa promedio ponderada, Porcentajes","Valores privados de corto plazo semanal, Certificados bursátiles a corto plazo, tasa promedio ponderada, Porcentajes"
Periodo disponible,02/04/1993 - 14/02/2025,02/04/1993 - 14/02/2025,06/09/2002 - 14/02/2025
Periodicidad,Diaria,Diaria,Diaria
Cifra,Porcentajes,Porcentajes,Porcentajes
Unidad,Porcentajes,Porcentajes,Porcentajes
Base,,,
Aviso,,,
Tipo de información,Niveles,Niveles,Niveles
Fecha,SF45371,SF44057,SF45376
2002-01-04 00:00:00,9.4,9.4,N/E
2002-01-11 00:00:00,7.54,7.54,N/E
2002-01-18 00:00:00,7.76,7.76,N/E
2002-01-25 00:00:00,7.49,7.49,N/E
2002-02-01 00:00:00,8.88,8.88,N/E
2002-02-08 00:00:00,10.28,10.28,N/E
2002-02-15 00:00:00,8.98,8.98,N/E
2002-02-22 00:00:00,8.92,8.92,N/E
2002-03-01 00:00:00,8.35,8.35,N/E
2002-03-08 00:00:00,8.35,8.35,N/E
2002-03-15 00:00:00,9.46,9.46,N/E
2002-03-22 00:00:00,8.56,8.56,N/E
2002-03-27 00:00:00,8.66,8.66,N/E
2002-04-05 00:00:00,7.27,7.27,N/E
2002-04-12 00:00:00,6.97,6.97,N/E
2002-04-19 00:00:00,6.29,6.29,N/E
2002-04-26 00:00:00,6.29,6.29,N/E
2002-05-03 00:00:00,7.93,7.93,N/E
2002-05-10 00:00:00,7.43,7.43,N/E
2002-05-17 00:00:00,7.69,7.69,N/E
2002-05-24 00:00:00,7.76,7.76,N/E
2002-05-31 00:00:00,7.87,7.87,N/E
2002-06-07 00:00:00,8.79,8.79,N/E
2002-06-14 00:00:00,7.97,7.97,N/E
2002-06-21 00:00:00,7.72,7.72,N/E
2002-06-28 00:00:00,10.21,10.21,N/E
2002-07-05 00:00:00,9.22,9.22,N/E
2002-07-12 00:00:00,9.16,9.16,N/E
2002-07-19 00:00:00,7.86,7.86,N/E
2002-07-26 00:00:00,7.77,7.77,N/E
2002-08-02 00:00:00,7.57,7.57,N/E
2002-08-09 00:00:00,7.35,7.35,N/E
2002-08-16 00:00:00,7.76,7.76,N/E
2002-08-23 00:00:00,7.44,7.44,N/E
2002-08-30 00:00:00,7.45,7.45,N/E
2002-09-06 00:00:00,7.77,7.76,8.23
2002-09-13 00:00:00,7.78,7.77,8.37
2002-09-20 00:00:00,8.25,8.24,8.37
2002-09-27 00:00:00,9.38,9.38,9.97
2002-10-04 00:00:00,8.94,8.91,9.75
2002-10-11 00:00:00,8.92,8.9,10.22
2002-10-18 00:00:00,8.73,8.7,9.74
2002-10-25 00:00:00,8.96,8.92,9.17
2002-11-01 00:00:00,9.21,9.04,9.74
2002-11-08 00:00:00,9.06,9.25,8.74
2002-11-15 00:00:00,8.63,8.56,9.43
2002-11-22 00:00:00,8.48,8.44,8.87
2002-11-29 00:00:00,8.88,9.56,8.51
2002-12-06 00:00:00,8.92,9.01,8.75
2002-12-13 00:00:00,8.63,8.48,9.45
2002-12-20 00:00:00,8.44,8.41,9.93
2002-12-27 00:00:00,8.4,8.39,10.67
2003-01-03 00:00:00,9.43,9.43,N/E
2003-01-10 00:00:00,9.27,9.35,8.93
2003-01-17 00:00:00,9.01,8.8,9.64
2003-01-24 00:00:00,9.81,9.73,10.46
2003-01-31 00:00:00,9.94,9.65,10.7
2003-02-07 00:00:00,9.84,9.78,10.3
2003-02-14 00:00:00,10.77,10.93,10.67
2003-02-21 00:00:00,9.58,9.42,10.27
2003-02-28 00:00:00,10.17,10.11,10.62
2003-03-07 00:00:00,10.73,10.76,10.63
2003-03-14 00:00:00,10.28,10.21,10.69
2003-03-20 00:00:00,9.5,9.46,9.55
2003-03-28 00:00:00,8.89,8.75,9.21
2003-04-04 00:00:00,9.31,9.28,9.53
2003-04-11 00:00:00,8.93,8.89,9.18
2003-04-16 00:00:00,8.4,8.31,18.5
2003-04-25 00:00:00,8.33,8.07,8.68
2003-05-02 00:00:00,7.08,7.03,7.22
2003-05-09 00:00:00,6.61,6.41,7.37
2003-05-16 00:00:00,5.36,5.29,6.17
2003-05-23 00:00:00,5.92,5.84,6.31
2003-05-30 00:00:00,5.61,5.52,6.09
2003-06-06 00:00:00,5.97,5.85,6.27
2003-06-13 00:00:00,6.11,6,6.61
2003-06-20 00:00:00,6.05,5.98,6.62
2003-06-27 00:00:00,5.75,5.64,6.08
2003-07-04 00:00:00,5.32,5.38,5.13
2003-07-11 00:00:00,5.37,5.34,5.43
2003-07-18 00:00:00,5.47,5.3,5.9
2003-07-25 00:00:00,5.32,5.31,5.4
2003-08-01 00:00:00,5.12,5.1,5.24
