,"TIIE de Fondeo a Un Día Hábil Bancario, Mediana ponderada por volumen","TIIE a 28 días, Tasa de interés en por ciento anual","Tasas de interés interbancarias Por ciento anual, TIIE a 91 días", Tarjetas vigentes al cierre del trimestre (todas las marcas), (todas las marcas) B, (todas las marcas) C, (todas las marcas) D, (todas las marcas) E, (todas las marcas) F, (todas las marcas) G, (todas las marcas) H, (todas las marcas) I, (todas las marcas) J, (todas las marcas) K, (todas las marcas) L, (todas las marcas) M, (todas las marcas) N, (todas las marcas) O, (todas las marcas) P, (todas las marcas) Q, (todas las marcas) R, (todas las marcas) S, (todas las marcas) T, (todas las marcas) U, (todas las marcas) V, (todas las marcas) W, (todas las marcas) X, (todas las marcas) Y, Tarjetas vigentes al cierre del trimestre (mastercard), (mastercard) B, (mastercard) C, (mastercard) D, (mastercard) E, (mastercard) F, (mastercard) G, (mastercard) H, (mastercard) I, (mastercard) J, (mastercard) K, (mastercard) M, (mastercard) N, (mastercard) O, (mastercard) T, (mastercard) U, (mastercard) V, (mastercard) W, (mastercard) X, (mastercard) Y, Tarjetas vigentes al cierre del trimestre (visa), (visa) B, (visa) C, (visa) D, (visa) E, (visa) F, (visa) G, (visa) H, (visa) I, (visa) J, (visa) K, (visa) L, (visa) M, (visa) N, (visa) O, (visa) Q, (visa) R, (visa) S, (visa) T, (visa) U, Tarjetas vigentes al cierre del trimestre (otras marcas), (otras marcas) C, (otras marcas) E, (otras marcas) Q, (otras marcas) P, Tarjetas utilizadas durante el trimestre, Cuentas con tarjetas,TIIE a 28 días,TIIE a 91 días,TIIE a 182 días,Fondeo promedio ponderado bancario,Fondeo promedio ponderado gubernamental,Todos los clientes con y sin promociones,Clientes no totaleros con y sin promociones,Clientes no totaleros sin promociones,CCP,CCPO,CCP-Udis,CCP-Dólares,CPP,Banca de Desarrollo,Total corto plazo,Certificados bursátiles a corto plazo,Cetes 28 días - Plazo,Cetes 28 días - Precio Limpio,Cetes 28 días - Precio Sucio,Cetes 28 días - Tasa Rendimiento,Cetes 91 días - Plazo,Cetes 91 días - Precio Limpio,Cetes 91 días - Precio Sucio,Cetes 91 días - Tasa Rendimiento,Cetes 182 días - Plazo,Cetes 182 días - Precio Limpio,Cetes 182 días - Precio Sucio,Cetes 182 días - Tasa Rendimiento,Cetes 364 días - Plazo,Cetes 364 días - Precio Limpio,Cetes 364 días - Precio Sucio,Cetes 364 días - Tasa Rendimiento,Bonos 3 a 5 años - Plazo,Bonos 3 a 5 años - Precio Limpio,Bonos 3 a 5 años - Precio Sucio,Bonos 3 a 5 años - Cupón Vigente,Bonos 7 a 10 años - Plazo,Bonos 7 a 10 años - Precio Limpio,Bonos 7 a 10 años - Precio Sucio,Bonos 7 a 10 años - Cupón Vigente,Bonos 10 a 20 años - Plazo,Bonos 10 a 20 años - Precio Limpio,Bonos 10 a 20 años - Precio Sucio,Bonos 10 a 20 años - Cupón Vigente,Bonos 20 a 30 años - Plazo,Bonos 20 a 30 años - Precio Limpio,Bonos 20 a 30 años - Precio Sucio,Bonos 20 a 30 años - Cupón Vigente,Udibonos 30 años - Plazo,Udibonos 30 años - Precio Limpio,Udibonos 30 años - Precio Sucio,"Índice de precios al consumidor, por objeto del gasto, Nacional, Índice general","SSC e INPC, Subyacente","Índice de precios al consumidor, por objeto del gasto, Nacional, Índice general","SSC e INPC, Subyacente","SSC e INPC, Subyacente, Mercancías","SSC e INPC, Subyacente, Mercancías, Alimentos, Bebidas y Tabaco","SSC e INPC, Subyacente, Mercancías, Mercancías no Alimenticias","SSC e INPC, Subyacente, Servicios","SSC e INPC, Subyacente, Servicios, Vivienda","SSC e INPC, Subyacente, Servicios, Educación (colegiaturas)","SSC e INPC, Subyacente, Servicios, Otros Servicios","SSC e INPC, No Subyacente","SSC e INPC, No Subyacente, Agropecuarios","SSC e INPC, No Subyacente, Agropecuarios, Frutas y Verduras","SSC e INPC, No Subyacente, Agropecuarios, Pecuarios","SSC e INPC, No Subyacente, Energéticos y Tarifas Autorizadas por el Gobierno","SSC e INPC, No Subyacente, Energéticos y Tarifas Autorizadas por el Gobierno, Energéticos","SSC e INPC, No Subyacente, Energéticos y Tarifas Autorizadas por el Gobierno, Tarifas Autorizadas por el Gobierno",TIIE de Fondeo a Un Día Hábil Bancario,Tasa de fondeo bancario,Tasa de fondeo gubernamental,TIIE a 28 días,TIIE a 91 días,Tasa objetivo,"INPC, Variación mensual","INPC, Variación acumulada","INPC, variación anual","Inflación, Subyacente, Mensual","Inflación, Subyacente, Acumulada en el año","Inflación, Subyacente, Anual","Inflación, No subyacente, Mensual","Inflación, No subyacente, Acumulada en el año","Inflación, No subyacente, Anual"
2011-04,4.5,4.8331,4.862,23241817.0,15638.0,5804978.0,8242474.0,2931260.0,1109787.0,17015.0,198979.0,377131.0,1141.0,411134.0,21142.0,81548.0,24560.0,1852871.0,700973.0,4003.0,0.0,30103.0,0.0,1341344.0,75736.0,0.0,0.0,0.0,8908489.0,6469.0,4172745.0,900238.0,2718344.0,223906.0,0.0,22786.0,0.0,0.0,321458.0,0.0,18165.0,448642.0,0.0,0.0,75736.0,0.0,0.0,0.0,13022323.0,9169.0,1022219.0,7342236.0,212916.0,885881.0,17015.0,176193.0,377131.0,1141.0,89676.0,21142.0,81548.0,6395.0,1404229.0,3985.0,0.0,30103.0,0.0,1341344.0,1311005.0,610014.0,0.0,18.0,700973.0,15666938.0,11804065.0,4.85,4.88,4.98,4.52,4.49,25.03815,30.33245,37.6747,4.21,4.19,4.15,2.13,3.38,4.69,5.08,5.08,27.0,9.967825,9.967825,4.303848,90.0,9.8905,9.8905,4.428492,174.0,9.782983,9.782983,4.589609,342.0,9.5592,9.5592,4.853963,1539.0,97.13448,98.78448,6.0,3723.0,92.2798,94.0673,6.5,6635.0,102.4196,104.7571,8.5,10093.0,99.54584,101.88334,8.5,10821.0,435.356853,440.404795,75.675371,79.097886,75.675371,79.097886,75.905865,71.378041,79.781639,81.916898,85.034338,73.640694,81.318816,65.919837,67.08405,73.414995,63.059338,65.169166,60.92453,74.07735,4.5,4.52,4.49,4.8331,4.862,4.5,-0.01,1.05,3.36,0.08,1.24,3.18,-0.28,0.4,3.9
2011-05,4.5,4.84,4.875,23513975.333333332,15552.0,5944675.333333333,8231955.333333333,2971291.3333333335,1130714.6666666667,17213.333333333332,205417.0,374121.3333333333,1168.6666666666667,420939.0,21565.0,79262.33333333333,23558.333333333332,1875477.0,706586.0,3953.3333333333335,0.0,28768.0,0.0,1387796.3333333333,73961.0,0.0,0.0,0.0,9039763.333333334,6405.0,4269860.0,896505.6666666666,2747100.6666666665,222707.33333333334,0.0,23705.666666666668,0.0,0.0,332030.3333333333,0.0,17035.666666666668,450452.0,0.0,0.0,73961.0,0.0,0.0,0.0,13141201.666666666,9147.0,1048409.0,7335449.666666667,224190.66666666666,908007.3333333334,17213.333333333332,181711.33333333334,374121.3333333333,1168.6666666666667,88908.66666666667,21565.0,79262.33333333333,6522.666666666667,1425025.0,3935.3333333333335,0.0,28768.0,0.0,1387796.3333333333,1333010.3333333333,626406.3333333334,0.0,18.0,706586.0,15759413.0,11830915.666666666,4.85,4.88,4.96,4.49,4.45,24.9821,30.3204,37.7136,4.2,4.2,4.44,2.15,3.35,4.66,5.04,5.04,24.0,9.9718,9.9718,4.241962,87.0,9.893667,9.893667,4.447275,171.0,9.78625,9.78625,4.598288,311.0,9.602611,9.602611,4.790365,1508.0,98.79263,100.959297,6.0,3692.0,94.84369,97.190912,6.5,6604.0,106.75983,109.829274,8.5,10062.0,104.74836,107.817804,8.5,10790.0,471.250502,477.881749,75.192319,79.196316,75.192319,79.196316,76.084351,71.748057,79.795917,81.943708,85.181622,73.662901,81.228743,63.81518,65.673713,69.224363,63.424393,62.680662,57.165197,74.31484,4.5,4.51,4.48,4.84,4.875,4.5,-0.74,0.3,3.25,0.18,1.42,3.12,-3.8,-3.42,3.45
2011-06,4.45,4.8725,4.915,23786133.666666668,15466.0,6084372.666666667,8221436.666666667,3011322.6666666665,1151642.3333333333,17411.666666666668,211855.0,371111.6666666667,1196.3333333333333,430744.0,21988.0,76976.66666666667,22556.666666666668,1898083.0,712199.0,3903.6666666666665,0.0,27433.0,0.0,1434248.6666666667,72186.0,0.0,0.0,0.0,9171037.666666666,6341.0,4366975.0,892773.3333333334,2775857.3333333335,221508.66666666666,0.0,24625.333333333332,0.0,0.0,342602.6666666667,0.0,15906.333333333334,452262.0,0.0,0.0,72186.0,0.0,0.0,0.0,13260080.333333334,9125.0,1074599.0,7328663.333333333,235465.33333333334,930133.6666666666,17411.666666666668,187229.66666666666,371111.6666666667,1196.3333333333333,88141.33333333333,21988.0,76976.66666666667,6650.333333333333,1445821.0,3885.6666666666665,0.0,27433.0,0.0,1434248.6666666667,1355015.6666666667,642798.6666666666,0.0,18.0,712199.0,15851888.0,11857766.333333334,4.85,4.89,4.95,4.51,4.48,24.89145,30.30845,37.71805,4.22,4.21,4.44,2.21,3.38,4.64,5.0,5.0,22.0,9.973233,9.973233,4.39181,85.0,9.896347,9.896347,4.43599,169.0,9.792036,9.792036,4.524087,337.0,9.583431,9.583431,4.643426,1478.0,99.85014,102.516807,6.0,3662.0,97.45876,100.347649,6.5,6574.0,110.17315,113.950928,8.5,10032.0,107.921,111.698778,8.5,10760.0,483.219877,491.359795,75.08414,79.355358,75.08414,79.355358,76.251501,72.004078,79.886869,82.09543,85.378771,73.70887,81.368454,62.962946,62.790503,61.86436,63.399722,62.962032,57.511565,74.456374,4.45,4.46,4.43,4.8725,4.915,4.5,0.0,0.3,3.28,0.19,1.62,3.18,-0.7,-4.09,3.34
2011-07,4.51,4.85,4.88,24058292.0,15380.0,6224070.0,8210918.0,3051354.0,1172570.0,17610.0,218293.0,368102.0,1224.0,440549.0,22411.0,74691.0,21555.0,1920689.0,717812.0,3854.0,0.0,26098.0,0.0,1480701.0,70411.0,0.0,0.0,0.0,9302312.0,6277.0,4464090.0,889041.0,2804614.0,220310.0,0.0,25545.0,0.0,0.0,353175.0,0.0,14777.0,454072.0,0.0,0.0,70411.0,0.0,0.0,0.0,13378959.0,9103.0,1100789.0,7321877.0,246740.0,952260.0,17610.0,192748.0,368102.0,1224.0,87374.0,22411.0,74691.0,6778.0,1466617.0,3836.0,0.0,26098.0,0.0,1480701.0,1377021.0,659191.0,0.0,18.0,717812.0,15944363.0,11884617.0,4.82,4.86,4.9,4.49,4.47,24.8008,30.2965,37.7225,4.22,4.22,3.82,2.12,3.39,4.65,4.88,4.88,27.0,9.9676,9.9676,4.334042,90.0,9.89275,9.89275,4.336509,181.0,9.777269,9.777269,4.530927,363.0,9.543225,9.543225,4.746823,1448.0,99.99589,100.129223,6.0,3632.0,96.47333,96.617774,6.5,6544.0,107.82979,108.018679,8.5,10002.0,104.83774,105.026629,8.5,10730.0,459.17598,459.580808,75.463519,79.584594,75.463519,79.584594,76.416195,72.31903,79.922737,82.38227,85.456007,73.762075,81.933125,63.758069,64.470767,65.567202,63.788629,63.262454,57.871548,74.628541,4.51,4.51,4.5,4.85,4.88,4.5,0.48,0.78,3.55,0.22,1.84,3.19,1.38,-2.77,4.51
2011-08,4.45,4.805,4.84,24255627.666666668,15230.0,6298939.0,8207284.0,3032765.6666666665,1188781.6666666667,17747.666666666668,222550.66666666666,365889.0,1244.3333333333333,442583.3333333333,22811.333333333332,73700.66666666667,21807.0,1945551.6666666667,725623.3333333334,3616.3333333333335,0.0,25000.666666666668,0.0,1575748.6666666667,68752.66666666667,0.0,0.0,0.0,9315945.333333334,6234.333333333333,4507863.666666667,877941.0,2783865.0,220265.66666666666,0.0,25476.333333333332,0.0,0.0,354110.3333333333,0.0,15419.0,456017.3333333333,0.0,0.0,68752.66666666667,0.0,0.0,0.0,13538465.666666666,8995.666666666666,1115500.0,7329343.0,248900.66666666666,968516.0,17747.666666666668,197074.33333333334,365889.0,1244.3333333333333,88473.0,22811.333333333332,73700.66666666667,6388.0,1489534.3333333333,3598.3333333333335,0.0,25000.666666666668,0.0,1575748.6666666667,1401216.6666666667,675575.3333333334,0.0,18.0,725623.3333333334,16205258.0,12022444.0,4.81,4.85,4.87,4.46,4.44,25.0365,30.4234,37.7677,4.19,4.18,3.68,2.25,3.33,4.65,4.82,4.82,24.0,9.973667,9.973667,3.960379,87.0,9.899225,9.899225,4.212451,178.0,9.785411,9.785411,4.435176,332.0,9.596067,9.596067,4.564366,1781.0,102.1675,102.844583,6.25,3601.0,100.57154,101.275707,6.5,6513.0,113.91064,114.831473,8.5,9971.0,110.44119,111.362023,8.5,10699.0,501.389962,503.3693,75.634053,79.668658,75.634053,79.668658,76.377756,72.316609,79.853424,82.575825,85.554406,74.666806,81.999445,64.170684,65.217694,66.29155,64.550187,63.488051,58.132506,74.777867,4.45,4.47,4.45,4.805,4.84,4.5,0.16,0.94,3.42,0.12,1.97,3.22,0.29,-2.48,3.9
2011-09,4.36,4.7925,4.825,24452963.333333332,15080.0,6373808.0,8203650.0,3014177.3333333335,1204993.3333333333,17885.333333333332,226808.33333333334,363676.0,1264.6666666666667,444617.6666666667,23211.666666666668,72710.33333333333,22059.0,1970414.3333333333,733434.6666666666,3378.6666666666665,0.0,23903.333333333332,0.0,1670796.3333333333,67094.33333333333,0.0,0.0,0.0,9329578.666666666,6191.666666666667,4551637.333333333,866841.0,2763116.0,220221.33333333334,0.0,25407.666666666668,0.0,0.0,355045.6666666667,0.0,16061.0,457962.6666666667,0.0,0.0,67094.33333333333,0.0,0.0,0.0,13697972.333333334,8888.333333333334,1130211.0,7336809.0,251061.33333333334,984772.0,17885.333333333332,201400.66666666666,363676.0,1264.6666666666667,89572.0,23211.666666666668,72710.33333333333,5998.0,1512451.6666666667,3360.6666666666665,0.0,23903.333333333332,0.0,1670796.3333333333,1425412.3333333333,691959.6666666666,0.0,18.0,733434.6666666666,16466153.0,12160271.0,4.78,4.8,4.81,4.38,4.37,25.2722,30.5503,37.8129,4.16,4.16,3.67,2.33,3.33,4.62,5.06,5.06,28.0,9.968111,9.968111,4.113131,91.0,9.891811,9.891811,4.326816,175.0,9.795347,9.795347,4.297964,357.0,9.586475,9.586475,4.349878,1750.0,105.63073,106.846008,6.25,3570.0,103.23798,104.501869,6.5,6482.0,116.56168,118.214458,8.5,9940.0,112.97553,114.628308,8.5,10668.0,496.685659,500.250951,75.797073,79.87846,75.797073,79.87846,76.671987,72.485925,80.254719,82.710047,85.684191,76.231653,81.694462,64.202128,64.804113,64.56092,64.977695,63.767553,58.52398,74.817024,4.36,4.38,4.36,4.7925,4.825,4.5,0.25,1.19,3.14,0.27,2.24,3.12,0.17,-2.32,2.98
2011-10,4.38,4.7843,4.81,24650299.0,14930.0,6448677.0,8200016.0,2995589.0,1221205.0,18023.0,231066.0,361463.0,1285.0,446652.0,23612.0,71720.0,22311.0,1995277.0,741246.0,3141.0,0.0,22806.0,0.0,1765844.0,65436.0,0.0,0.0,0.0,9343212.0,6149.0,4595411.0,855741.0,2742367.0,220177.0,0.0,25339.0,0.0,0.0,355981.0,0.0,16703.0,459908.0,0.0,0.0,65436.0,0.0,0.0,0.0,13857479.0,8781.0,1144922.0,7344275.0,253222.0,1001028.0,18023.0,205727.0,361463.0,1285.0,90671.0,23612.0,71720.0,5608.0,1535369.0,3123.0,0.0,22806.0,0.0,1765844.0,1449608.0,708344.0,0.0,18.0,741246.0,16727048.0,12298098.0,4.79,4.81,4.8,4.38,4.37,24.897100000000002,30.4653,37.8429,4.17,4.17,3.67,2.2,3.35,4.61,4.86,4.86,24.0,9.971133,9.971133,4.342586,87.0,9.896325,9.896325,4.334943,171.0,9.7929,9.7929,4.452205,353.0,9.574439,9.574439,4.532901,1718.0,103.42547,105.196303,6.25,3538.0,98.30217,100.143837,6.5,7178.0,100.00135,102.197183,7.75,9908.0,106.43846,108.846793,8.5,10636.0,467.072663,472.276365,76.309424,80.082251,76.309424,80.082251,76.925104,72.852717,80.410366,82.869648,85.81126,76.305737,81.912306,65.574611,65.012673,63.885684,65.750799,65.78682,61.477578,74.831594,4.38,4.39,4.38,4.7843,4.81,4.5,0.67,1.87,3.2,0.26,2.5,3.19,2.12,-0.24,3.09
2011-11,4.4,4.8018,4.8125,24681924.666666668,14970.333333333334,6553314.666666667,8202481.666666667,3022838.0,1250485.6666666667,18284.666666666668,235647.33333333334,360266.3333333333,1299.0,450465.3333333333,24168.666666666668,71341.33333333333,22323.666666666668,1815387.6666666667,742695.3333333334,2932.0,0.0,22005.666666666668,0.0,1812827.0,58190.333333333336,0.0,0.0,0.0,9362925.666666666,6136.666666666667,4650713.666666667,837030.0,2765189.0,220536.33333333334,0.0,24891.666666666668,0.0,0.0,359257.6666666667,0.0,16783.0,424197.3333333333,0.0,0.0,58190.333333333336,0.0,0.0,0.0,13848210.666666666,8833.666666666666,1174525.6666666667,7365451.666666667,257649.0,1029949.3333333334,18284.666666666668,210755.66666666666,360266.3333333333,1299.0,91207.66666666667,24168.666666666668,71341.33333333333,5540.666666666667,1391190.3333333333,2914.3333333333335,0.0,22005.666666666668,0.0,1812827.0,1470788.3333333333,728075.3333333334,0.0,17.666666666666668,742695.3333333334,16802215.333333332,12362836.666666666,4.8,4.81,4.8,4.4,4.41,24.522,30.3803,37.8729,4.16,4.16,3.67,2.26,3.32,4.63,4.78,4.78,23.0,9.972144,9.972144,4.372249,86.0,9.896322,9.896322,4.385477,170.0,9.796472,9.796472,4.399548,352.0,9.585422,9.585422,4.423386,1689.0,104.90632,107.180626,6.25,3509.0,102.00606,104.371338,6.5,7149.0,103.70364,106.523779,7.75,9879.0,110.54459,113.637646,8.5,10607.0,490.207994,496.919881,77.094477,80.32961,77.094477,80.32961,77.169734,73.174938,80.588459,83.119338,85.92457,76.309094,82.371921,67.858471,65.653954,64.033198,66.707633,68.982914,66.140018,74.881432,4.4,4.4,4.4,4.8018,4.8125,4.5,1.08,2.97,3.48,0.32,2.83,3.28,3.67,3.41,4.13
2011-12,4.43,4.7975,4.8025,24713550.333333332,15010.666666666666,6657952.333333333,8204947.333333333,3050087.0,1279766.3333333333,18546.333333333332,240228.66666666666,359069.6666666667,1313.0,454278.6666666667,24725.333333333332,70962.66666666667,22336.333333333332,1635498.3333333333,744144.6666666666,2723.0,0.0,21205.333333333332,0.0,1859810.0,50944.666666666664,0.0,0.0,0.0,9382639.333333334,6124.333333333333,4706016.333333333,818319.0,2788011.0,220895.66666666666,0.0,24444.333333333332,0.0,0.0,362534.3333333333,0.0,16863.0,388486.6666666667,0.0,0.0,50944.666666666664,0.0,0.0,0.0,13838942.333333334,8886.333333333334,1204129.3333333333,7386628.333333333,262076.0,1058870.6666666667,18546.333333333332,215784.33333333334,359069.6666666667,1313.0,91744.33333333333,24725.333333333332,70962.66666666667,5473.333333333333,1247011.6666666667,2705.6666666666665,0.0,21205.333333333332,0.0,1859810.0,1491968.6666666667,747806.6666666666,0.0,17.333333333333332,744144.6666666666,16877382.666666668,12427575.333333334,4.8,4.81,4.81,4.48,4.5,24.2507,30.08735,37.835499999999996,4.17,4.17,3.67,2.35,3.26,4.67,4.66,4.66,28.0,9.966711,9.966711,4.29431,91.0,9.891306,9.891306,4.347234,182.0,9.784128,9.784128,4.364207,322.0,9.620756,9.620756,4.407133,1659.0,104.37028,107.165419,6.25,3479.0,101.42474,104.331684,6.5,7119.0,103.6017,107.067672,7.75,9849.0,110.02707,113.828459,8.5,10577.0,486.980266,495.294685,77.612837,80.678214,77.612837,80.678214,77.571996,73.816653,80.785414,83.419813,86.043708,76.305363,82.944333,68.850208,67.778407,67.527667,67.957648,69.341621,66.652264,74.910634,4.43,4.42,4.44,4.7975,4.8025,4.5,0.82,3.82,3.82,0.51,3.35,3.35,1.86,5.34,5.34
2012-01,4.52,4.8035,4.8153,24745176.0,15051.0,6762590.0,8207413.0,3077336.0,1309047.0,18808.0,244810.0,357873.0,1327.0,458092.0,25282.0,70584.0,22349.0,1455609.0,745594.0,2514.0,0.0,20405.0,0.0,1906793.0,43699.0,0.0,0.0,0.0,9402353.0,6112.0,4761319.0,799608.0,2810833.0,221255.0,0.0,23997.0,0.0,0.0,365811.0,0.0,16943.0,352776.0,0.0,0.0,43699.0,0.0,0.0,0.0,13829674.0,8939.0,1233733.0,7407805.0,266503.0,1087792.0,18808.0,220813.0,357873.0,1327.0,92281.0,25282.0,70584.0,5406.0,1102833.0,2497.0,0.0,20405.0,0.0,1906793.0,1513149.0,767538.0,0.0,17.0,745594.0,16952550.0,12492314.0,4.79,4.8,4.81,4.47,4.48,23.9794,29.7944,37.7981,4.19,4.18,3.67,2.34,3.23,4.71,4.83,4.83,24.0,9.971333,9.971333,4.312412,87.0,9.893183,9.893183,4.467737,178.0,9.779972,9.779972,4.55012,346.0,9.573267,9.573267,4.637912,1627.0,102.96255,103.153522,6.25,3447.0,100.08209,100.280701,6.5,7087.0,102.71907,102.955876,7.75,9817.0,108.40109,108.660812,8.5,10545.0,492.891094,493.464837,78.219845,81.023321,78.219845,81.023321,78.292311,74.818525,81.264302,83.429302,86.197863,76.494264,82.756177,70.186249,70.723496,71.451787,70.278254,69.778542,67.053508,75.422726,4.52,4.51,4.52,4.8035,4.8153,4.5,0.71,0.71,4.05,0.45,0.45,3.34,1.55,1.55,6.38
