Price,Close,High,Low,Open,Volume
Ticker,LIN,LIN,LIN,LIN,LIN
Date,,,,,
2018-02-01,142.841064453125,143.7973230017793,142.03672068609742,142.84999660590466,1520800
2018-02-02,138.5691375732422,140.62466439055876,138.4797615058867,140.06162516734042,2086200
2018-02-05,134.34193420410156,140.1688893159182,134.08275174692878,137.648644704082,2593900
2018-02-06,138.80152893066406,139.7667334104449,132.28641573823893,134.19000096178107,3718100
2018-02-07,134.0648651123047,138.32784759873797,134.0559329593823,138.13123113944755,2248000
2018-02-08,128.75625610351562,134.6100206823463,128.7383781615624,133.94868683569163,2054300
2018-02-09,133.59120178222656,134.6189721160816,129.31928714685438,129.846570543153,3116200
2018-02-12,137.4073944091797,138.50664974612647,134.50284786069295,134.8335149501034,3099700
2018-02-13,137.4788360595703,138.03292957877318,135.9148500994812,136.4957537156213,1402800
2018-02-14,138.5870361328125,139.6326708194475,135.8433513719035,136.06677793665995,1622000
2018-02-15,139.2394256591797,139.69521090199243,136.84428600409478,139.6594686549945,1634200
2018-02-16,137.28224182128906,138.6406793792101,136.91581892131077,138.12232802636026,1589400
2018-02-20,137.27330017089844,137.86313599510567,135.52162973288856,136.06679114930665,2590500
2018-02-21,136.50473022460938,139.18584961668742,136.50473022460938,137.1571321250224,1834100
2018-02-22,137.3358612060547,138.4887501016818,136.8621979037823,137.51459975914054,1627100
2018-02-23,139.07855224609375,139.18580626144544,136.33488134734174,137.90779932480018,1593400
2018-02-26,139.2662811279297,139.40033164393952,137.32693972067568,138.91773614942556,1018600
2018-02-27,137.63079833984375,138.81049744274418,137.22863314999267,138.4351287195459,1239400
2018-02-28,133.83253479003906,138.07764023413046,133.75210448605426,137.76483753613059,1541700
2018-03-01,132.19705200195312,134.12746114188664,131.00842082699992,133.34994092033472,1918000
2018-03-02,133.54652404785156,134.03806523354467,131.06202165857627,131.5893187324338,1420600
2018-03-05,136.50473022460938,137.11244407444542,132.72434206322689,132.99245672981039,1852900
2018-03-06,138.06370544433594,138.98024026385494,136.3744223724183,137.53355846195046,1470000
2018-03-07,139.3666229248047,139.99561200859023,136.85963354030653,137.07529281657602,1821700
2018-03-08,141.86463928222656,142.05332918028628,139.67215096519882,139.94172167336276,2190900
2018-03-09,143.85040283203125,143.93126990527205,141.20863541871447,141.9274858396947,1340300
2018-03-12,144.76693725585938,146.88753845372568,143.87735831868054,146.15071300276176,1787800
2018-03-13,144.10206604003906,145.5577425960802,142.93394898262605,145.4589004454289,1678500
2018-03-14,141.55909729003906,144.8837793410162,141.50518589867121,144.61420867324324,1611600
2018-03-15,139.87879943847656,142.35881949766622,139.77097665227436,141.60403257238252,1491600
2018-03-16,138.6657257080078,139.58224663907447,137.61439889784222,138.9622383139266,2276000
2018-03-19,134.40658569335938,136.85965027555145,133.48107013313106,135.01759981777073,2058400
2018-03-20,134.98167419433594,135.80834768715206,134.66717273349943,135.3051563185628,837700
2018-03-21,136.3205108642578,137.37182416623193,134.77498693889393,135.32310895557453,826700
2018-03-22,131.27059936523438,135.3860049407528,131.09987080756798,134.8378829081613,1351300
2018-03-23,128.08969116210938,132.58248977382183,127.72127838532496,131.95350071036876,1232100
2018-03-26,131.28857421875,131.6030756362195,129.09608609141918,130.2911722824949,1068200
2018-03-27,129.49143981933594,132.22305529359315,128.62881646850403,131.3514512816344,856500
2018-03-28,127.73926544189453,130.1294378189171,127.0204148541743,129.79696136692246,1236200
2018-03-29,129.66217041015625,130.61464152013562,126.03198146121869,126.39141357597813,1461000
2018-04-02,127.68531036376953,130.16532964646348,126.3464517735751,129.410542957504,2028000
2018-04-03,129.0691375732422,129.60827897291156,127.05635855353658,127.56854425431602,1079000
2018-04-04,130.3091278076172,130.56072341954962,125.79835440351573,126.80473685124544,1132800
2018-04-05,131.82769775390625,132.83408021616324,130.58768099795904,131.18971434312584,988100
2018-04-06,128.65579223632812,131.6569925438487,127.90100525591775,130.64161552983833,1188600
2018-04-09,129.34765625,131.1357948531425,128.32329881822824,129.437517697549,1231700
2018-04-10,131.80978393554688,133.15762409242666,130.3720822838328,131.32455380094427,1089400
2018-04-11,129.93170166015625,130.89315313979603,129.4824219361736,130.5067791584169,890700
2018-04-12,132.01641845703125,132.69033837996045,130.10248148841285,130.65959794813742,1001200
2018-04-13,131.66595458984375,132.77117920566994,131.01899049498618,132.40278014101668,716500
2018-04-16,135.86219787597656,135.86219787597656,132.09723126033552,132.98681012888935,2211500
2018-04-17,139.204833984375,139.4204931970404,135.42190622484404,136.53611121295782,2268500
2018-04-18,137.7042694091797,139.22283744502687,137.5155658456945,139.10602030044402,971000
2018-04-19,136.18572998046875,137.34487987622742,135.16137229006605,137.34487987622742,839000
2018-04-20,135.39495849609375,136.00598617430893,134.46944317387047,135.91612472691696,974700
2018-04-23,135.10743713378906,135.43989983552024,133.96626247493936,134.37061159803216,865900
2018-04-24,131.890625,135.898208307591,130.20132794958903,135.38602256790568,1221000
2018-04-25,134.55934143066406,137.6324145612641,133.50802802105895,136.97646969084772,2062400
2018-04-26,140.1663360595703,140.7863307509594,134.8558448085599,136.07788657969192,3037100
2018-04-27,137.68630981445312,140.37300846457072,136.38340088922757,140.17532421815758,1734000
2018-04-30,137.04833984375,138.24342598215307,136.53615419403414,138.24342598215307,1411300
2018-05-01,137.74920654296875,137.82109296521526,135.73642785286614,136.6260069033668,985100
2018-05-02,135.89820861816406,138.3962041242817,135.49384568130463,138.27938694599462,1591800
2018-05-03,137.33587646484375,138.57589337565176,135.19731346547093,135.97007544147766,1537900
2018-05-04,138.89039611816406,139.46547384690612,135.9790574040067,136.23963371554242,1066500
2018-05-07,139.51040649414062,141.11883640889914,138.9622844013753,140.0405672606053,897100
2018-05-08,138.3782196044922,139.27677947205382,137.7672054757993,138.78256880270783,1041200
2018-05-09,139.7350311279297,140.43590668290892,137.69531023094547,139.25879552546778,1365000
2018-05-10,141.1188201904297,141.9634686013161,140.06750686334806,140.26519111742508,1250200
2018-05-11,141.63995361328125,142.86199521321294,140.64255191252136,141.01095092685523,1166100
2018-05-14,142.37677001953125,142.67329634146893,141.42429900957305,142.1970608364898,1150300
2018-05-15,142.4936065673828,142.5564986200945,141.19069767419938,141.90953450427736,1344600
2018-05-16,142.8709716796875,143.59880273789167,142.08922924101353,142.38575554452837,1273400
2018-05-17,143.64373779296875,143.9222890744218,142.43967122304133,142.87995665078404,1520500
2018-05-18,143.35621643066406,144.0930420066474,142.99679801516672,143.11361517012352,1882500
2018-05-21,144.19187927246094,144.9017354179934,143.76955510745813,144.26376569532667,746800
2018-05-22,143.05970764160156,145.28813204190817,142.93390982168748,144.41652796431282,1044300
2018-05-23,142.57452392578125,142.84409468757775,141.1637917528499,142.2061110083573,1375900
2018-05-24,141.52316284179688,143.11361746327094,140.8492430187407,143.03273666419443,1282400
2018-05-25,141.1367950439453,141.47823844614697,139.7709803023351,140.95707211433606,1094600
2018-05-29,137.75816345214844,140.66950135196524,137.70425207249215,140.1034044437126,1318000
2018-05-30,140.61561584472656,140.7683693521687,138.45008362388222,138.8005213670573,1223300
2018-05-31,140.408935546875,141.2086531414666,139.6900987466067,140.90314613025927,2504700
2018-06-01,141.792724609375,142.44866935689834,140.72343636352207,141.61301541003158,1025200
2018-06-04,141.5500946044922,142.79909191693793,141.31647404126957,142.42169852514837,641200
2018-06-05,143.32923889160156,143.97620290964608,142.60140779903438,142.7541612878877,1179300
2018-06-06,146.5673370361328,146.80217219671482,142.56601547993995,143.61376702508724,1555000
2018-06-07,144.30926513671875,145.66411205364025,143.83958101316563,145.32087975771117,1227000
2018-06-08,144.3634490966797,144.59828425480413,143.05376657005888,143.61376552216362,1079700
2018-06-11,145.03184509277344,145.6460357131861,143.81247742042828,144.4899008423501,1289000
2018-06-12,145.72731018066406,147.15441704905592,144.92343500984603,145.41118754804017,1179000
2018-06-13,144.9415283203125,146.55830628879,144.7066931430892,146.3234711115667,1048700
2018-06-14,145.91705322265625,146.8564079290454,145.57382083848566,146.1880254321478,1169000
2018-06-15,144.7518310546875,145.49248727412757,143.64086050774213,145.49248727412757,2856700
2018-06-18,143.1350555419922,143.31569903334298,142.32215293980607,143.00860371982512,972900
2018-06-19,140.28085327148438,141.2382762598475,139.8292376141647,141.17505723457515,1141300
2018-06-20,140.01890563964844,140.64213737795095,139.29631791723662,140.46148011068715,1173600
2018-06-21,140.78665161132812,141.25633572396518,140.11826930179888,140.2537484774561,2217100
2018-06-22,142.83697509765625,143.59568596435972,141.54536115425967,141.64471713315277,1341000
2018-06-25,139.82020568847656,142.3492560431735,138.47438611209384,142.3492560431735,1434500
2018-06-26,139.26922607421875,140.28988177820443,138.66406280174513,140.0098685188078,1026100
2018-06-27,140.4886016845703,142.0421607486228,140.0279586459636,140.2808623278124,1399300
2018-06-28,141.51828002929688,141.5273211633342,139.41376313108185,140.7957059815712,1349500
2018-06-29,142.84605407714844,144.3092984571878,141.94282259064803,142.10541142497186,1391000
2018-07-02,142.96343994140625,143.34279540934025,141.4008537511082,141.80730505373643,1291900
2018-07-03,141.96990966796875,144.03831736240127,141.85249895388094,143.34282530171185,640000
2018-07-05,146.21507263183594,147.38023482813705,145.4834575571568,146.32345596668782,1547900
2018-07-06,148.16607666015625,149.48480060276125,145.8899433959273,146.3144632675881,1642500
2018-07-09,148.86155700683594,150.19833554957333,148.86155700683594,149.1054333310422,1293700
2018-07-10,150.3609161376953,150.57769661204867,148.69897384763405,149.13252101412482,2150100
2018-07-11,148.18411254882812,148.64476929413487,146.88345737984508,147.3892646606241,1518200
2018-07-12,149.8370361328125,150.0899397880359,147.30798579836298,148.73509287124676,1913100
2018-07-13,150.65895080566406,151.4899217669381,148.86151594827635,149.16861121570554,1501800
2018-07-16,150.87576293945312,152.2306100030633,150.60480455250473,151.76996696303397,1399500
2018-07-17,150.7131805419922,151.28222069120915,150.20737320145105,150.88479670015073,1854200
2018-07-18,149.0602569580078,150.8847880016757,148.35573766255285,150.14413173699887,1641300
2018-07-19,149.2679901123047,149.3312229147168,146.9466929867902,148.08475939027278,1553400
2018-07-20,149.55702209472656,150.25251397004962,147.36216313626548,147.38925896938846,1326500
2018-07-23,146.2331085205078,148.86151431024737,146.09762936937184,148.50925473508113,1745200
2018-07-24,147.53384399414062,148.12998014881384,146.69384523437222,146.88351614944625,1685100
2018-07-25,149.7647705078125,149.93638664949344,147.19056972924358,148.87960774685376,1562100
2018-07-26,150.34283447265625,151.19187402833842,146.60345775672664,147.01895018392534,2223000
2018-07-27,150.32479858398438,151.67964571370362,149.54803279387434,150.406099886253,1470800
2018-07-30,149.3402862548828,151.60740603958965,149.03319086628468,150.32480523832768,1268200
2018-07-31,151.29124450683594,151.70673697383575,149.5570420445638,149.73768555021832,1673600
2018-08-01,149.46676635742188,151.67968109572197,148.71708245023382,151.37258564908234,1447600
2018-08-02,148.05767822265625,148.59962253450516,147.14541953933414,148.22026702909747,1597600
2018-08-03,149.0698699951172,149.26050027115832,148.01681848769098,148.08944416254084,1050100
2018-08-06,143.39614868164062,144.1586976474582,139.36551293098486,140.0372763214715,3928400
2018-08-07,142.55184936523438,145.10276544371138,142.04348352279587,144.31298378506085,2552900
2018-08-08,142.57005310058594,143.39615477462348,142.06168710177346,142.89686179295603,1740900
2018-08-09,142.66082763671875,143.65941361971502,141.83473979835074,142.52466311718965,1003300
2018-08-10,140.5183563232422,141.46247608313135,139.91921884892537,141.46247608313135,1303700
2018-08-13,140.09173583984375,141.6168335522483,139.4290317094454,141.15386042925377,1337500
2018-08-14,141.01768493652344,141.45343902196097,140.26420908054482,141.00861192088476,1612000
2018-08-15,140.3731689453125,140.45486765024856,138.4577097019654,139.91926878197845,1352200
2018-08-16,140.2823944091797,141.5623962949554,140.10083709994802,141.3445192127165,1102400
2018-08-17,141.65316772460938,141.84381190265785,139.94651239911224,139.94651239911224,1662800
2018-08-20,143.6956787109375,144.06788009447206,142.1978140139845,142.1978140139845,1161100
2018-08-21,143.722900390625,144.56714772843367,143.39609184168296,143.92260364371268,935200
