h0303,h0305,h0306,h0307,h0308,h0312,h0317a,h0317g,h0318,h0327,h0324,h0317aint,h0317gint,h0317
47,1,2,3,2,1,3,3,1,3,Empleado,12,3.0,15.0
41,2,1,2,3,1,2,6,1,3,Quehaceres del hogar,6,6.0,12.0
20,3,1,1,1,1,10,3,1,3,Estudiante,18,3.0,21.0
17,3,1,1,1,1,4,2,1,3,Empleado,15,2.0,17.0
11,3,1,1,1,1,2,6,1,3,Estudiante,6,6.0,12.0
43,1,1,2,2,1,3,3,1,1,Empleado,12,3.0,15.0
19,3,1,1,2,1,4,3,1,1,Estudiante,15,3.0,18.0
16,3,1,1,2,1,3,2,1,1,Estudiante,12,2.0,14.0
13,3,1,1,2,1,2,6,1,1,Estudiante,6,6.0,12.0
49,1,1,3,3,1,3,3,1,2,Empleado,12,3.0,15.0
42,2,1,2,3,1,3,3,1,2,Empleado,12,3.0,15.0
21,3,1,1,1,1,3,2,1,2,Empleado,12,2.0,14.0
20,5,1,3,2,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
15,3,1,1,1,1,3,3,1,2,Estudiante,12,3.0,15.0
9,4,1,2,2,1,2,2,2,2,Estudiante,6,2.0,8.0
5,3,1,1,1,1,1,2,2,2,Jornalero o peón,3,2.0,5.0
1,4,1,1,1,1,0, ,1,2,Busco Trabajo,0,,0.0
49,1,1,3,3,1,3,3,1,2,Empleado,12,3.0,15.0
42,2,1,2,3,1,3,3,1,2,Empleado,12,3.0,15.0
21,3,1,1,1,1,3,2,1,2,Empleado,12,2.0,14.0
20,5,1,3,2,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
15,3,1,1,1,1,3,3,1,2,Estudiante,12,3.0,15.0
9,4,1,2,2,1,2,2,2,2,Estudiante,6,2.0,8.0
5,3,1,1,1,1,1,2,2,2,Jornalero o peón,3,2.0,5.0
1,4,1,1,1,1,0, ,1,2,Busco Trabajo,0,,0.0
42,1,1,2,2,1,2,6,1,1,Obrero,6,6.0,12.0
44,2,1,2,3,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
20,3,1,1,1,1,9,1,1,1,Estudiante,19,1.0,20.0
19,3,1,1,1,1,4,3,1,1,Quehaceres del hogar,15,3.0,18.0
16,3,1,1,1,1,4,1,1,1,Estudiante,15,1.0,16.0
56,1,1,3,3,1,2,6,1,2,Incapacitado,6,6.0,12.0
29,3,1,1,2,1,4,3,1,2,Empleado,15,3.0,18.0
49,1,1,2,3,1,2,6,1,2,Empleado,6,6.0,12.0
49,2,1,3,2,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
24,3,1,1,1,1,4,3,1,2,Incapacitado,15,3.0,18.0
20,3,1,1,1,1,9,3,1,2,Empleado,19,3.0,22.0
15,3,1,1,1,1,3,3,1,2,Estudiante,12,3.0,15.0
49,1,1,2,3,1,2,6,1,2,Empleado,6,6.0,12.0
49,2,1,3,2,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
24,3,1,1,1,1,4,3,1,2,Incapacitado,15,3.0,18.0
20,3,1,1,1,1,9,3,1,2,Empleado,19,3.0,22.0
15,3,1,1,1,1,3,3,1,2,Estudiante,12,3.0,15.0
43,1,1,2,3,1,3,3,1,2,Empleado,12,3.0,15.0
41,2,1,2,3,1,3,3,1,2,Empleado,12,3.0,15.0
21,3,1,1,1,1,4,1,1,2,Quehaceres del hogar,15,1.0,16.0
17,3,1,1,1,1,4,2,1,2,Estudiante,15,2.0,17.0
0,4,1,1,2,1,0, ,1,2,Incapacitado,0,,0.0
59,1,1,3,3,1,2,2,1,1,Trabajador por su cuenta,6,2.0,8.0
44,1,1,2,2,1,3,3,1,3,Empleado,12,3.0,15.0
45,2,2,2,2,1,3,3,1,3,Quehaceres del hogar,12,3.0,15.0
21,3,1,1,1,1,4,1,1,3,Empleado,15,1.0,16.0
1,4,1,1,2,1,0, ,1,3,Incapacitado,0,,0.0
45,1,1,2,3,1,3,3,1,2,Empleado,12,3.0,15.0
45,2,2,2,2,1,2,6,1,2,Quehaceres del hogar,6,6.0,12.0
49,1,1,3,3,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
49,2,1,2,2,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
24,3,1,1,1,1,10,4,1,1,Empleado,18,4.0,22.0
20,3,1,1,1,1,3,3,1,1,Trabajador por su cuenta,12,3.0,15.0
49,1,1,3,3,1,2,6,1,1,Trabajador por su cuenta,6,6.0,12.0
49,2,1,2,2,1,3,3,1,1,Quehaceres del hogar,12,3.0,15.0
24,3,1,1,1,1,10,4,1,1,Empleado,18,4.0,22.0
20,3,1,1,1,1,3,3,1,1,Trabajador por su cuenta,12,3.0,15.0
50,1,1,3,3,1,2,5,1,1,Empleado,6,5.0,11.0
22,3,1,2,1,1,3,2,1,1,Quehaceres del hogar,12,2.0,14.0
15,3,1,2,1,1,3,1,1,1,Estudiante,12,1.0,13.0
50,1,1,3,3,1,2,5,1,1,Empleado,6,5.0,11.0
22,3,1,2,1,1,3,2,1,1,Quehaceres del hogar,12,2.0,14.0
15,3,1,2,1,1,3,1,1,1,Estudiante,12,1.0,13.0
48,1,1,3,2,1,2,6,1,1,Empleado,6,6.0,12.0
48,2,2,2,2,1,3,3,1,1,Trabajador por su cuenta,12,3.0,15.0
21,3,1,1,1,1,3,3,1,1,Empleado,12,3.0,15.0
19,3,1,1,1,1,3,3,1,1,Empleado,12,3.0,15.0
48,1,1,3,2,1,2,6,1,1,Empleado,6,6.0,12.0
48,2,2,2,2,1,3,3,1,1,Trabajador por su cuenta,12,3.0,15.0
21,3,1,1,1,1,3,3,1,1,Empleado,12,3.0,15.0
19,3,1,1,1,1,3,3,1,1,Empleado,12,3.0,15.0
22,1,1,2,2,1,3,3,1,2,Empleado,12,3.0,15.0
17,2,1,2,2,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
54,1,1,3,3,1,2,6,1,2,Obrero,6,6.0,12.0
52,2,1,2,3,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
31,3,1,1,1,1,4,2,1,2,Empleado,15,2.0,17.0
54,1,1,3,3,1,2,6,1,2,Obrero,6,6.0,12.0
52,2,1,2,3,1,3,3,1,2,Quehaceres del hogar,12,3.0,15.0
31,3,1,1,1,1,4,2,1,2,Empleado,15,2.0,17.0
47,1,1,2,2,1,3,3,1,1,Obrero,12,3.0,15.0
49,2,1,2,2,1,4,3,1,1,Quehaceres del hogar,15,3.0,18.0
22,3,1,1,1,1,4,3,1,1,Obrero,15,3.0,18.0
17,3,1,1,1,1,4,2,1,1,Estudiante,15,2.0,17.0
16,3,1,1,1,1,4,2,1,1,Estudiante,15,2.0,17.0
